df_type,df_name,df_parameter,df_category,comment
output,appInstall,"[{'param_type': 'string', 'min': None, 'max': None, 'unit_id': None}]",Other,x-1:App
output,appSearch,"[{'param_type': 'string', 'min': None, 'max': None, 'unit_id': None}]",Other,x-1:App
output,appSelect,"[{'param_type': 'string', 'min': None, 'max': None, 'unit_id': None}]",Other,x-1:App
output,ArmDisarm,"[{'param_type': 'boolean', 'min': None, 'max': None, 'unit_id': None}]",Other,"x-1:Arm
String='arm',Value=1
String='disarm',Value=0"
output,BrightnessAbsolute,"[{'param_type': 'int', 'min': 0, 'max': 10, 'unit_id': None}]",Other,"x-1:Brightness
String='dark',Value=1
String='low',Value=1
String='medium',Value=5
String='bright',Value=10"
output,BrightnessRelative,"[{'param_type': 'int', 'min': -100, 'max': 100, 'unit_id': '%'}]",Other,x-1:Brightness Relative
output,GetCameraStream,"[{'param_type': 'string', 'min': None, 'max': None, 'unit_id': None}]",Other,x-1:Camera_id
output,selectChannel,"[{'param_type': 'int', 'min': 1, 'max': 999, 'unit_id': None}]",Other,"x-1:Channel
String='CNN',Value=1
String='MTV',Value=2
String='CBS',Value=3"
output,relativeChannel,"[{'param_type': 'int', 'min': -999, 'max': 999, 'unit_id': None}]",Other,x-1:Relative Channel
output,returnChannel,[],Other,
output,ColorAbsolute,"[{'param_type': 'int', 'min': 0, 'max': 10, 'unit_id': None}]",Other,"x-1:Color
String='cool',Value=1
String='warm',Value=10"
output,Cook,"[{'param_type': 'string', 'min': None, 'max': None, 'unit_id': None}, {'param_type': 'int', 'min': 0, 'max': 180, 'unit_id': 'minutes'}, {'param_type': 'int', 'min': 0, 'max': 250, 'unit_id': 'Celsius'}]",Other,"x-1:Dish Type,x-2:Cooking Time,x-3:Temperature"
output,Dispense,"[{'param_type': 'int', 'min': 1, 'max': 1000, 'unit_id': 'ml'}, {'param_type': 'string', 'min': None, 'max': None, 'unit_id': None}]",Other,"x-1:Amount, x-2:Type"
output,Dock,[],Other,
output,Charge,"[{'param_type': 'boolean', 'min': None, 'max': None, 'unit_id': None}]",Other,x-1:Charge
